Program;Date;Time;Country;Period;State;Details
LegacyACV;06.03.2019;13:58:41;NO;1054;Finished;21 sec
LegacyACV;06.03.2019;13:59:52;NO;1054;ERROR;"Traceback (most recent call last):
  File ""E:\My Drive\Python\Nordic SO\LegacyACV.py"", line 17, in main
    excel = xl.load_workbook(MadrasFile)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 336, in load_workbook
    data_only, keep_links)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 152, in __init__
    self.archive = _validate_archive(fn)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 119, in _validate_archive
    raise InvalidFileException(msg)
openpyxl.utils.exceptions.InvalidFileException: openpyxl does not support .csv file format, please check you can open it with Excel first. Supported formats are: .xlsx,.xlsm,.xltx,.xltm
"
MUS;06.03.2019;16:44:46;DK;1054;Finished;1 sec
LegacyACV;06.03.2019;17:27:40;DK;1054;Finished;14 sec
LegacyCells;06.03.2019;17:28:06;DK;1054;Finished;11 sec
MUS;07.03.2019;14:35:50;SE;1055;Finished;1 sec
MUS;08.03.2019;10:25:58;NO;1055;Finished;1 sec
LegacyCells;08.03.2019;11:15:29;SE;1055;ERROR;"Traceback (most recent call last):
  File ""E:\My Drive\Python\Nordic SO\LegacyCells.py"", line 17, in main
    excel = xl.load_workbook(MadrasFile)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 336, in load_workbook
    data_only, keep_links)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 152, in __init__
    self.archive = _validate_archive(fn)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 121, in _validate_archive
    archive = ZipFile(filename, 'r', ZIP_DEFLATED)
  File ""C:\Users\piwo8001\AppData\Local\Programs\Python\Python36-32\lib\zipfile.py"", line 1090, in __init__
    self.fp = io.open(file, filemode)
FileNotFoundError: [Errno 2] No such file or directory: 'X:/BAU/NewWeek/Excel/201910/Madras_201910.xlsx'
"
LegacyCells;08.03.2019;11:17:49;SE;1055;ERROR;"Traceback (most recent call last):
  File ""E:\My Drive\Python\Nordic SO\LegacyCells.py"", line 17, in main
    excel = xl.load_workbook(MadrasFile)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 336, in load_workbook
    data_only, keep_links)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 152, in __init__
    self.archive = _validate_archive(fn)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\reader\excel.py"", line 121, in _validate_archive
    archive = ZipFile(filename, 'r', ZIP_DEFLATED)
  File ""C:\Users\piwo8001\AppData\Local\Programs\Python\Python36-32\lib\zipfile.py"", line 1090, in __init__
    self.fp = io.open(file, filemode)
FileNotFoundError: [Errno 2] No such file or directory: 'X:/BAU/NewWeek/Excel/201910/Madras_201910.xlsx'
"
LegacyCells;08.03.2019;11:18:02;SE;1055;ERROR;"Traceback (most recent call last):
  File ""E:\My Drive\Python\Nordic SO\LegacyCells.py"", line 98, in main
    output_table.legacy_fx = output_table.legacy_fx.astype(float)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\util\_decorators.py"", line 178, in wrapper
    return func(*args, **kwargs)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\core\generic.py"", line 4997, in astype
    **kwargs)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\core\internals.py"", line 3714, in astype
    return self.apply('astype', dtype=dtype, **kwargs)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\core\internals.py"", line 3581, in apply
    applied = getattr(b, f)(**kwargs)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\core\internals.py"", line 575, in astype
    **kwargs)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\core\internals.py"", line 664, in _astype
    values = astype_nansafe(values.ravel(), dtype, copy=True)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\core\dtypes\cast.py"", line 730, in astype_nansafe
    return arr.astype(dtype, copy=True)
ValueError: could not convert string to float: 'None'
"
LegacyACV;08.03.2019;11:32:59;DK;1055;Finished;7 sec
LegacyCells;08.03.2019;11:33:16;DK;1055;Finished;12 sec
LegacyCells;08.03.2019;11:34:44;DK;1055;Finished;11 sec
LegacyCells;08.03.2019;12:33:18;SE;1055;Finished;373 sec
LegacyACV;08.03.2019;12:50:40;NO;1055;Finished;20 sec
LegacyCells;08.03.2019;12:51:10;NO;1055;Finished;25 sec
LegacyACV;08.03.2019;12:57:28;NO;1055;Finished;24 sec
Eforte;11.03.2019;15:16:22;NO;1055;Finished with output; sec
Eforte;11.03.2019;16:08:34;NO;1055;Finished with output; sec
Eforte;11.03.2019;16:34:08;NO;1055;Finished with output; sec
Eforte;11.03.2019;16:44:28;NO;1055;Finished with output; sec
Eforte;11.03.2019;16:48:42;NO;1055;Finished with output; sec
Eforte;11.03.2019;16:48:57;NO;1055;Finished with output; sec
Eforte;12.03.2019;09:09:59;NO;1055;Finished with output; sec
Eforte;12.03.2019;09:13:36;NO;1055;Finished with output; sec
Eforte;12.03.2019;09:14:34;NO;1055;Finished with output; sec
Eforte;12.03.2019;09:15:27;NO;1055;Finished with output; sec
Eforte;12.03.2019;09:15:57;NO;1055;Finished with output; sec
Eforte;12.03.2019;09:17:40;NO;1055;Finished with output; sec
MUS;15.03.2019;11:12:53;DK;1056;Finished;1 sec
LegacyACV;15.03.2019;12:59:24;DK;1056;Finished;8 sec
LegacyCells;15.03.2019;12:59:42;DK;1056;Finished;13 sec
MUS;15.03.2019;13:44:59;SE;1056;Finished;1 sec
MUS;15.03.2019;14:01:26;SE;1056;Finished;1 sec
MUS;15.03.2019;15:16:57;NO;1056;Finished;1 sec
LegacyACV;15.03.2019;16:12:33;SE;1056;Finished;34 sec
LegacyCells;15.03.2019;16:13:24;SE;1056;Finished;78 sec
LegacyACV;18.03.2019;16:45:12;NO;1056;Finished with output;14 sec
LegacyCells;18.03.2019;16:49:09;NO;1056;ERROR;"Traceback (most recent call last):
  File ""E:\My Drive\Python\Nordic SO\LegacyCells.py"", line 18, in main
    sheet_Shops_PS = excel['Shops_PS']
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\openpyxl\workbook\workbook.py"", line 275, in __getitem__
    raise KeyError(""Worksheet {0} does not exist."".format(key))
KeyError: 'Worksheet Shops_PS does not exist.'
"
LegacyCells;18.03.2019;16:52:41;NO;1056;Finished;30 sec
LegacyACV;18.03.2019;16:53:26;NO;1056;Finished;25 sec
Eforte;19.03.2019;10:01:50;NO;1056;unzipped;
Eforte;19.03.2019;12:02:14;NO;1056;unzipped;
MUS;21.03.2019;13:58:35;SE;1057;Finished;6 sec
MUS;22.03.2019;08:25:31;DK;1057;Finished;1 sec
MUS;22.03.2019;10:21:02;NO;1057;ERROR;"Traceback (most recent call last):
  File ""E:\My Drive\Python\Nordic SO\MUS.py"", line 96, in main
    wynik.to_csv(path+'/MUS_'+str(week)+'.csv',';',index=False,encoding='utf-8')
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\core\generic.py"", line 3020, in to_csv
    formatter.save()
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\io\formats\csvs.py"", line 157, in save
    compression=self.compression)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\pandas\io\common.py"", line 424, in _get_handle
    f = open(path_or_buf, mode, encoding=encoding, newline="""")
FileNotFoundError: [Errno 2] No such file or directory: 'D:/___NO/2019/w12/MUS_201912.csv'
"
MUS;22.03.2019;10:22:02;NO;1057;Finished;27 sec
LegacyCells;22.03.2019;10:53:01;DK;1057;Finished with output;14 sec
LegacyCells;22.03.2019;11:00:01;DK;1057;Finished with output;12 sec
LegacyCells;22.03.2019;11:09:35;DK;1057;Finished with output;11 sec
LegacyCells;22.03.2019;11:55:18;DK;1057;Finished with output;49 sec
LegacyCells;22.03.2019;12:03:25;DK;1057;Finished with output;36 sec
LegacyCells;22.03.2019;14:03:19;DK;1057;Finished;24 sec
LegacyACV;22.03.2019;14:15:54;NO;1057;Finished;19 sec
LegacyCells;22.03.2019;14:16:24;NO;1057;Finished;24 sec
Eforte;22.03.2019;14:31:27;NO;1057;unzipped;
Eforte;22.03.2019;14:32:58;NO;1057;unzipped;
MUS;29.03.2019;10:39:48;NO;1058;Finished;5 sec
MUS;29.03.2019;11:19:46;SE;1058;ERROR;"Traceback (most recent call last):
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\sqlalchemy\engine\result.py"", line 1130, in fetchall
    l = self.process_rows(self._fetchall_impl())
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\sqlalchemy\engine\result.py"", line 1081, in _fetchall_impl
    return self.cursor.fetchall()
cx_Oracle.DatabaseError: ORA-29275: partial multibyte character

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""E:\My Drive\Python\Nordic SO\MUS.py"", line 63, in main
    tabela_sql = pd.DataFrame(outpt.fetchall(),columns=columns)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\sqlalchemy\engine\result.py"", line 1136, in fetchall
    self.cursor, self.context)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\sqlalchemy\engine\base.py"", line 1413, in _handle_dbapi_exception
    exc_info
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\sqlalchemy\util\compat.py"", line 265, in raise_from_cause
    reraise(type(exception), exception, tb=exc_tb, cause=cause)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\sqlalchemy\util\compat.py"", line 248, in reraise
    raise value.with_traceback(tb)
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\sqlalchemy\engine\result.py"", line 1130, in fetchall
    l = self.process_rows(self._fetchall_impl())
  File ""C:\Users\piwo8001\PycharmProjects\untitled\venv\lib\site-packages\sqlalchemy\engine\result.py"", line 1081, in _fetchall_impl
    return self.cursor.fetchall()
sqlalchemy.exc.DatabaseError: (cx_Oracle.DatabaseError) ORA-29275: partial multibyte character (Background on this error at: http://sqlalche.me/e/4xp6)
"
MUS;29.03.2019;11:29:31;DK;1058;Finished;7 sec
MUS;29.03.2019;11:30:16;SE;1058;ERROR;"Traceback (most recent call last):
  File ""E:\My Drive\Nordic SO\MUS.py"", line 16, in main
    csv = pd.read_csv(File,delimiter=';')
  File ""C:\Users\lagr7001\AppData\Local\Programs\Python\Python37-32\lib\site-packages\pandas\io\parsers.py"", line 702, in parser_f
    return _read(filepath_or_buffer, kwds)
  File ""C:\Users\lagr7001\AppData\Local\Programs\Python\Python37-32\lib\site-packages\pandas\io\parsers.py"", line 429, in _read
    parser = TextFileReader(filepath_or_buffer, **kwds)
  File ""C:\Users\lagr7001\AppData\Local\Programs\Python\Python37-32\lib\site-packages\pandas\io\parsers.py"", line 895, in __init__
    self._make_engine(self.engine)
  File ""C:\Users\lagr7001\AppData\Local\Programs\Python\Python37-32\lib\site-packages\pandas\io\parsers.py"", line 1122, in _make_engine
    self._engine = CParserWrapper(self.f, **self.options)
  File ""C:\Users\lagr7001\AppData\Local\Programs\Python\Python37-32\lib\site-packages\pandas\io\parsers.py"", line 1853, in __init__